key,en-US,fr-FR,ar-MA
landing.howItWorks.headline.gradient,Campaign-Ready,Visuels prêts,مرئيات جاهزة
landing.howItWorks.headline.post,Visuals,pour la campagne,للحملات
landing.howItWorks.headline.pre,Four Steps to,Quatre étapes vers des,أربع خطوات نحو
landing.howItWorks.steps.0.body,Upload a flat lay or ghost mannequin image.,Téléchargez une image à plat ou sur mannequin invisible.,قم بتحميل صورة مسطحة أو على مانيكان.
landing.howItWorks.steps.0.num,01,01,01
landing.howItWorks.steps.0.title,Upload Your Garment,Téléchargez votre vêtement,قم بتحميل ملابسك
landing.howItWorks.steps.1.body,"Choose poses, lighting, and environments designed for fashion campaigns.","Choisissez des poses, un éclairage et des environnements conçus pour les campagnes de mode.",اختر الأوضاع والإضاءة والبيئات المصممة لحملات الأزياء.
landing.howItWorks.steps.1.num,02,02,02
landing.howItWorks.steps.1.title,Define the Visual Style,Définissez le style visuel,حدد الأسلوب البصري
landing.howItWorks.steps.2.body,"Our AI pipeline transforms the garment into high-quality visuals ready for e-commerce, campaigns, and social media.","Notre pipeline IA transforme le vêtement en visuels de haute qualité prêts pour l'e-commerce, les campagnes et les réseaux sociaux.",يحوّل خط أنابيب الذكاء الاصطناعي الملابس إلى مرئيات عالية الجودة جاهزة للتجارة الإلكترونية والحملات ووسائل التواصل.
landing.howItWorks.steps.2.num,03,03,03
landing.howItWorks.steps.2.title,Generate Photorealistic Output,Générez un résultat photoréaliste,أنشئ مخرجات فوتوغرافية واقعية
landing.howItWorks.steps.3.body,"Generate multiple variations for different markets, campaigns, or product launches. Minutes — not weeks.","Générez plusieurs variations pour différents marchés, campagnes ou lancements. En quelques minutes — pas des semaines.",أنشئ متغيرات متعددة لأسواق وحملات وإطلاق منتجات مختلفة. دقائق — وليس أسابيع.
landing.howItWorks.steps.3.num,04,04,04
landing.howItWorks.steps.3.title,Scale Instantly,Évoluez instantanément,توسّع فوراً
landing.philosophy.body,Fashion has always been a form of artistic expression. Technology should not replace creativity — it should empower it. Anaqio was built with a simple belief: AI should optimize the operational side of fashion production so designers and brands can focus on creativity and storytelling. We are not replacing fashion art. We are building the infrastructure that allows it to scale.,La mode a toujours été une forme d'expression artistique. La technologie ne devrait pas remplacer la créativité — elle devrait la renforcer. Anaqio a été construit avec une conviction simple : l'IA doit optimiser le côté opérationnel de la production de mode afin que les designers et les marques puissent se concentrer sur la créativité et la narration. Nous ne remplaçons pas l'art de la mode. Nous construisons l'infrastructure qui lui permet de grandir.,كانت الموضة دائماً شكلاً من أشكال التعبير الفني. لا ينبغي للتكنولوجيا أن تحل محل الإبداع — بل يجب أن تمكّنه. بُني أناكيو على اعتقاد بسيط: يجب أن يحسّن الذكاء الاصطناعي الجانب التشغيلي من إنتاج الأزياء حتى يتمكن المصممون والعلامات التجارية من التركيز على الإبداع وسرد القصص. نحن لا نستبدل فن الأزياء. نحن نبني البنية التحتية التي تتيح له التوسع.
landing.philosophy.eyebrow,Our Philosophy,Notre Philosophie,فلسفتنا
landing.problem.eyebrow,The Challenge,Le Défi,التحدي
landing.problem.headline.gradient,Exploding,Explosive,متفجر
landing.problem.headline.pre,Fashion Content Demand.,La demande en contenu mode.,الطلب على محتوى الأزياء.
landing.problem.intro.a,Fashion brands today need an enormous volume of visuals.,Les marques de mode ont aujourd'hui besoin d'un volume considérable de visuels.,تحتاج علامات الأزياء اليوم إلى حجم هائل من المرئيات.
landing.problem.intro.b,But traditional production wasn't built for this speed.,Mais la production traditionnelle n'a pas été conçue pour cette cadence.,لكن الإنتاج التقليدي لم يُبنَ لهذه السرعة.
landing.problem.intro.detail,"Photoshoots require studios, models, logistics, and post-production — making them expensive, slow, and difficult to scale. For emerging designers and growing brands, this creates a bottleneck between creative vision and commercial growth.","Les shootings nécessitent des studios, des mannequins, une logistique et de la post-production — les rendant coûteux, lents et difficiles à mettre à l'échelle. Pour les designers émergents et les marques en croissance, cela crée un goulot d'étranglement entre la vision créative et la croissance commerciale.",تتطلب جلسات التصوير استوديوهات ونماذج ولوجستيات ومعالجة ما بعد الإنتاج — مما يجعلها مكلفة وبطيئة ويصعب توسيع نطاقها. للمصممين الناشئين والعلامات التجارية النامية، هذا يخلق عقبة بين الرؤية الإبداعية والنمو التجاري.
landing.problem.intro.quote,Fashion is art. Commerce requires optimization.,La mode est un art. Le commerce exige de l'optimisation.,الموضة فن. التجارة تتطلب التحسين.
landing.problem.painPoints.0.text,Product launches.,Lancements de produits.,إطلاق المنتجات.
landing.problem.painPoints.1.text,Social media campaigns.,Campagnes sur les réseaux sociaux.,حملات وسائل التواصل الاجتماعي.
landing.problem.painPoints.2.text,E-commerce catalogs.,Catalogues e-commerce.,كتالوجات التجارة الإلكترونية.
landing.problem.painPoints.3.text,Marketplace listings.,Fiches marketplace.,قوائم المتاجر الإلكترونية.
landing.problem.visualHeadline.line1,Fashion moves fast.,La mode va vite.,الموضة تتحرك بسرعة.
landing.problem.visualHeadline.line2,Production doesn't.,"La production, non.",الإنتاج لا يواكبها.
landing.solution.description,Anaqio transforms simple garment images into photorealistic visuals using a structured AI pipeline built specifically for fashion brands.,"Anaqio transforme de simples images de vêtements en visuels photoréalistes grâce à un pipeline IA structuré, spécialement conçu pour les marques de mode.",يحوّل أناكيو صور الملابس البسيطة إلى مرئيات فوتوغرافية واقعية باستخدام خط أنابيب ذكاء اصطناعي منظم مصمم خصيصاً لعلامات الأزياء.
landing.solution.eyebrow,The Solution,La Solution,الحل
landing.solution.footer,No photoshoot. No production delays. Just scalable visual generation.,Pas de shooting. Pas de délais de production. Juste une génération visuelle évolutive.,لا تصوير. لا تأخيرات في الإنتاج. مجرد توليد مرئيات قابل للتوسع.
landing.solution.headline.gradient,Production Layer,Couche de Production IA,طبقة الإنتاج بالذكاء الاصطناعي
landing.solution.headline.post,for Fashion,pour la mode,للأزياء
landing.solution.headline.pre,Meet the AI-Native,Découvrez la,تعرف على
landing.solution.pipeline.0.body,Upload your raw garment imagery and brand assets to begin.,Téléchargez vos images de vêtements brutes et vos ressources de marque.,قم بتحميل صور الملابس الخام وأصول علامتك التجارية للبدء.
landing.solution.pipeline.0.label,Flat Lay,À plat,صورة مسطحة
landing.solution.pipeline.0.stage,Input,Entrée,إدخال
landing.solution.pipeline.1.body,We orchestrate your asset generation using bleeding-edge pipelines.,Nous orchestrons la génération de vos ressources avec des pipelines de pointe.,نوفّر توليد أصولك باستخدام خطوط أنابيب متطورة.
landing.solution.pipeline.1.label,AI Pipeline,Pipeline IA,خط أنابيب الذكاء الاصطناعي
landing.solution.pipeline.1.stage,Process,Traitement,معالجة
landing.solution.pipeline.2.body,Receive photorealistic campaign visuals ready for commerce.,Recevez des visuels de campagne photoréalistes prêts pour le commerce.,احصل على مرئيات حملة فوتوغرافية واقعية جاهزة للتجارة.
landing.solution.pipeline.2.label,Campaign Visual,Visuel de campagne,مرئيات الحملة
landing.solution.pipeline.2.stage,Output,Sortie,إخراج
landing.solution.stat.anaqio.label,With ANAQIO,Avec ANAQIO,مع ANAQIO
landing.solution.stat.anaqio.value,2 hours,2 heures,ساعتان
landing.solution.stat.traditional.label,Traditional shoot,Shooting traditionnel,التصوير التقليدي
landing.solution.stat.traditional.value,14 days,14 jours,14 يومًا
landing.vision.eyebrow,Our Vision,Notre Vision,رؤيتنا
landing.vision.headline.gradient,Fashion Production,Production Mode,إنتاج الأزياء
landing.vision.headline.pre,The Future of,L'avenir de la,مستقبل
landing.vision.intro,The fashion industry is entering a new era where visual production must keep pace with digital commerce.,L'industrie de la mode entre dans une nouvelle ère où la production visuelle doit suivre le rythme du commerce numérique.,تدخل صناعة الأزياء عصراً جديداً حيث يجب أن يواكب الإنتاج البصري وتيرة التجارة الرقمية.
landing.vision.points.0.text,Collections launch faster.,Les collections se lancent plus vite.,تُطلق المجموعات بشكل أسرع.
landing.vision.points.1.text,Content cycles move quicker.,Les cycles de contenu s'accélèrent.,تتحرك دورات المحتوى بشكل أسرع.
landing.vision.points.2.text,Brands reach global audiences instantly.,Les marques atteignent des audiences mondiales instantanément.,تصل العلامات التجارية إلى الجمهور العالمي فوراً.
landing.vision.quote,"Anaqio's vision is to become the visual infrastructure layer of the global fashion industry, transforming visual production from a bottleneck into a growth engine.","La vision d'Anaqio est de devenir la couche d'infrastructure visuelle de l'industrie mondiale de la mode, transformant la production visuelle d'un goulot d'étranglement en moteur de croissance.",رؤية أناكيو هي أن يصبح طبقة البنية التحتية البصرية لصناعة الأزياء العالمية، محوّلاً الإنتاج البصري من عقبة إلى محرك نمو.
landing.whoItsFor.audiences.0.body,Scale product visuals for e-commerce and marketing campaigns.,Développez les visuels de produits pour l'e-commerce et les campagnes marketing.,وسّع مرئيات المنتجات للتجارة الإلكترونية وحملات التسويق.
landing.whoItsFor.audiences.0.title,Fashion Brands,Marques de mode,علامات الأزياء
landing.whoItsFor.audiences.1.body,Create professional visuals without expensive photoshoots.,Créez des visuels professionnels sans shootings coûteux.,أنشئ مرئيات احترافية دون جلسات تصوير مكلفة.
landing.whoItsFor.audiences.1.title,Emerging Designers,Designers émergents,المصممون الناشئون
landing.whoItsFor.audiences.2.body,Accelerate production for client campaigns.,Accélérez la production pour les campagnes clients.,سرّع الإنتاج لحملات العملاء.
landing.whoItsFor.audiences.2.title,Creative Studios,Studios créatifs,الاستوديوهات الإبداعية
landing.whoItsFor.audiences.3.body,Standardize visual quality across large product inventories.,Standardisez la qualité visuelle sur de grands inventaires de produits.,وحّد جودة المرئيات عبر مخزونات المنتجات الكبيرة.
landing.whoItsFor.audiences.3.title,Marketplaces,Marchés en ligne,الأسواق الإلكترونية
landing.whoItsFor.eyebrow,Who It's For,À qui s'adresse-t-il,لمن هو مناسب
landing.whoItsFor.features.0,Dedicated studio workspace,Espace studio dédié,مساحة عمل استوديو مخصصة
landing.whoItsFor.features.1,Lightning-fast asset rendering,Rendu d'actifs ultra-rapide,تقديم أصول فائق السرعة
landing.whoItsFor.features.2,Tailored brand parameters,Paramètres de marque personnalisés,معايير علامة تجارية مخصصة
landing.whoItsFor.footer,Anyone producing fashion visuals at scale.,Quiconque produit des visuels de mode à grande échelle.,أي شخص ينتج مرئيات أزياء على نطاق واسع.
landing.whoItsFor.headline.gradient,Ecosystem,Mode,البيئي
landing.whoItsFor.headline.pre,Built for the Fashion,Conçu pour l'écosystème,مصمم لنظام الأزياء
landing.whyAnaqio.eyebrow,Product Benefits,Avantages du produit,مزايا المنتج
landing.whyAnaqio.footer,"Anaqio is built for reliability, consistency, and scale.","Anaqio est conçu pour la fiabilité, la cohérence et l'évolutivité.",أناكيو مصمم للموثوقية والاتساق والتوسع.
landing.whyAnaqio.headline.gradient,Anaqio,Anaqio,Anaqio
landing.whyAnaqio.headline.post,is Better?,est meilleur ?,أفضل؟
landing.whyAnaqio.headline.pre,Why,Pourquoi,لماذا
landing.whyAnaqio.points.0.body,"Faithful reproduction of textures, cuts, colors, and brand details.","Reproduction fidèle des textures, coupes, couleurs et détails de marque.",إعادة إنتاج وفية للملمس والقصات والألوان وتفاصيل العلامة التجارية.
landing.whyAnaqio.points.0.title,Garment Precision,Précision des vêtements,دقة الملابس
landing.whyAnaqio.points.1.body,Consistent positioning across product collections.,Positionnement cohérent sur toutes les collections de produits.,وضع متسق عبر مجموعات المنتجات.
landing.whyAnaqio.points.1.title,Controlled Poses,Poses contrôlées,أوضاع متحكم بها
landing.whyAnaqio.points.2.body,Uniform lighting that preserves accurate color representation.,Éclairage uniforme qui préserve une représentation précise des couleurs.,إضاءة موحدة تحافظ على تمثيل دقيق للألوان.
landing.whyAnaqio.points.2.title,Lighting Consistency,Cohérence de l'éclairage,اتساق الإضاءة
landing.whyAnaqio.points.3.body,Generate hundreds of visuals without increasing production costs.,Générez des centaines de visuels sans augmenter les coûts de production.,أنشئ مئات المرئيات دون زيادة تكاليف الإنتاج.
landing.whyAnaqio.points.3.title,Scalable Production,Production évolutive,إنتاج قابل للتوسع
landing.whyAnaqio.points.4.body,Structured AI pipelines designed for fashion brands — not experimental image generation.,Pipelines IA structurés conçus pour les marques de mode — pas de génération expérimentale.,خطوط أنابيب ذكاء اصطناعي منظمة مصممة لعلامات الأزياء — وليس توليد صور تجريبي.
landing.whyAnaqio.points.4.title,Brand-Safe Outputs,Résultats sécurisés pour la marque,مخرجات آمنة للعلامة التجارية
loading.stages.assets,Loading assets,Chargement des ressources,تحميل الأصول
loading.stages.initializing,Initializing,Initialisation,التهيئة
loading.stages.ready,Ready,Prêt,جاهز
loading.stages.rendering,Rendering,Rendu,العرض
loading.stages.studio,Preparing studio,Préparation du studio,تحضير الاستوديو
loading.tagline,Digital Atelier,Atelier Numérique,أتيليه رقمي
meta.about.desc,"Anaqio is an AI-powered visual studio for fashion commerce, built in Casablanca by designers and engineers passionate about elevating the Moroccan fashion industry.","Anaqio est un studio visuel alimenté par l'IA pour le commerce de la mode, construit à Casablanca par des designers et des ingénieurs passionnés par l'élévation de l'industrie de la mode marocaine.",Anaqio هو استوديو بصري مدعوم بالذكاء الاصطناعي لتجارة الموضة، مبني في الدار البيضاء من قبل مصممين ومهندسين متحمسين لرفع مستوى صناعة الموضة المغربية.
meta.about.title,About Anaqio,À propos d'Anaqio,حول Anaqio
meta.brand.title,Brand Identity Guidelines — Anaqio,Directives d'Identité de Marque — Anaqio,إرشادات هوية العلامة التجارية — Anaqio
meta.contact.desc,"Get in touch with Anaqio — AI Visual Studio for Fashion Commerce. Partnerships, support, and general inquiries.","Contactez Anaqio — Studio Visuel IA pour le Commerce de la Mode. Partenariats, support et demandes générales.",تواصل مع Anaqio — استوديو بصري للذكاء الاصطناعي لتجارة الموضة. الشراكات والدعم والاستفسارات العامة.
meta.contact.title,Contact Anaqio,Contacter Anaqio,تواصل مع Anaqio
meta.cookies.desc,Anaqio's Cookie Policy. Learn how we use cookies to improve your experience in our AI virtual studio.,Politique de cookies d'Anaqio. Découvrez comment nous utilisons les cookies pour améliorer votre expérience dans notre studio IA.,سياسة ملفات تعريف الارتباط لـ Anaqio. تعرف على كيفية استخدامنا لها لتحسين تجربتك في استوديو الذكاء الاصطناعي.
meta.cookies.title,Cookie Policy — Anaqio,Politique de Cookies — Anaqio,سياسة ملفات تعريف الارتباط — Anaqio
meta.early.desc,Join the waitlist for early access to Anaqio's AI Visual Studio. Be the first to experience the future of fashion commerce.,Rejoignez la liste d'attente pour un accès anticipé au Studio Visuel IA d'Anaqio. Soyez le premier à vivre l'avenir du commerce de la mode.,انضم إلى قائمة الانتظار للوصول المبكر إلى استوديو Anaqio البصري. كن أول من يختبر مستقبل تجارة الموضة.
meta.early.title,Early Access — Anaqio,Accès Anticipé — Anaqio,الوصول المبكر — Anaqio
meta.forgot.title,Forgot Password — Anaqio,Mot de passe oublié — Anaqio,هل نسيت كلمة المرور — Anaqio
meta.home.description,"ANAQIO is an AI-powered fashion studio for the Moroccan luxury market. Generate lookbooks, swap backgrounds, adjust lighting, and produce cinematic fashion videos. Launching 2026.","ANAQIO est un studio de mode alimenté par l'IA pour le marché du luxe marocain. Générez des lookbooks, modifiez les arrière-plans, ajustez l'éclairage et produisez des vidéos de mode cinématographiques. Lancement 2026.",ANAQIO هو استوديو موضة مدعوم بالذكاء الاصطناعي للسوق الفاخرة المغربية. أنشئ دفاتر العرض، بدّل الخلفيات، اضبط الإضاءة، وأنتج فيديوهات موضة سينمائية. الإطلاق 2026.
meta.home.title,ANAQIO — AI Fashion Studio | Coming Soon,ANAQIO — Studio d'IA pour la Mode | À Venir,ANAQIO — استوديو الذكاء الاصطناعي للموضة | قريباً
meta.legal.desc,"Legal Mentions for Anaqio, a virtual studio for fashion commerce.","Mentions légales d'Anaqio, un studio virtuel pour le commerce de la mode.",الإشارات القانونية لـ Anaqio، استوديو افتراضي لتجارة الموضة.
meta.legal.title,Legal Mentions — Anaqio,Mentions Légales — Anaqio,الإشارات القانونية — Anaqio
meta.login.title,Login — Anaqio,Connexion — Anaqio,تسجيل الدخول — Anaqio
meta.privacy.desc,"Privacy Policy for Anaqio, a virtual studio for fashion commerce.","Politique de confidentialité d'Anaqio, un studio virtuel pour le commerce de la mode.",سياسة الخصوصية لـ Anaqio، استوديو افتراضي لتجارة الموضة.
meta.privacy.title,Privacy Policy — Anaqio,Politique de Confidentialité — Anaqio,سياسة الخصوصية — Anaqio
meta.protected.title,Studio Overview — Anaqio,Vue d'ensemble du Studio — Anaqio,نظرة عامة على الاستوديو — Anaqio
meta.signup.title,Sign Up — Anaqio,S'inscrire — Anaqio,التسجيل — Anaqio
meta.terms.desc,"Terms of Service for Anaqio, a virtual studio for fashion commerce.","Conditions d'utilisation d'Anaqio, un studio virtuel pour le commerce de la mode.",شروط الخدمة لـ Anaqio، استوديو افتراضي لتجارة الموضة.
meta.terms.title,Terms of Service — Anaqio,Conditions d'Utilisation — Anaqio,شروط الخدمة — Anaqio
meta.update.title,Update Password — Anaqio,Mettre à Jour le Mot de Passe — Anaqio,تحديث كلمة المرور — Anaqio
notFound.back,Return to Reality,Retour à la Réalité,العودة إلى الواقع
notFound.desc,"This space does not exist in our current simulation. It may have been moved, renamed, or is still rendering in the void.","Cet espace n'existe pas dans notre simulation actuelle. Il a peut-être été déplacé, renommé, ou se rend encore dans le vide.",هذه المساحة غير موجودة في محاكاتنا الحالية. ربما تم نقلها أو إعادة تسميتها أو لا تزال في مرحلة العرض.
notFound.title,System Anomaly,Anomalie Système,خلل في النظام
notFound.waitlist,Access Waitlist,Accéder à la Liste d'Attente,الوصول إلى قائمة الانتظار
protected.footer.privacy,Privacy,Confidentialité,الخصوصية
protected.footer.terms,Terms,Conditions,الشروط
protected.footer.workspace,Virtual Workspace,Espace de Travail Virtuel,مساحة العمل الافتراضية
protected.workspace.access.descPost,. Features like Lookbook Gen and Virtual Try-On are being enabled progressively.,. Des fonctionnalités comme le Générateur de Lookbook et l'Essayage Virtuel sont activées progressivement.,. يتم تفعيل الميزات مثل مولّد دفتر العرض والتجربة الافتراضية تدريجيًا.
protected.workspace.access.descPre,You are currently viewing the,Vous consultez actuellement,أنت حاليًا تعرض
protected.workspace.access.studio,Anaqio Studio Alpha,Anaqio Studio Alpha,Anaqio Studio Alpha
protected.workspace.access.title,Access Level,Niveau d'Accès,مستوى الوصول
protected.workspace.badge,Workspace Dashboard,Tableau de Bord,لوحة تحكم مساحة العمل
protected.workspace.claims.loading,Decrypting claims...,Déchiffrement en cours...,جارٍ فك التشفير...
protected.workspace.claims.title,System Claims,Revendications Système,بيانات النظام
protected.workspace.status.title,Account Status,Statut du Compte,حالة الحساب
protected.workspace.status.verified,Verified Member,Membre Vérifié,عضو موثق
protected.workspace.title,Studio Overview,Vue d'ensemble du Studio,نظرة عامة على الاستوديو
scrollNav.intro,Intro,Intro,مقدمة
scrollNav.join,Join,Rejoindre,انضم
scrollNav.morocco,Morocco,Maroc,المغرب
scrollNav.problem,Problem,Problème,المشكلة
scrollNav.solution,Solution,Solution,الحل
scrollNav.team,Team,Équipe,الفريق
social.instagram,Instagram,Instagram,إنستغرام
social.linkedin,LinkedIn,LinkedIn,لينكدإن
social.pinterest,Pinterest,Pinterest,بينتريست
social.tiktok,TikTok,TikTok,تيك توك
social.twitter,X (Twitter),X (Twitter),X (تويتر)
social.youtube,YouTube,YouTube,يوتيوب
waitlist.disclaimer.and,and,et notre,و
waitlist.disclaimer.prefix,By joining you agree to our,"En vous inscrivant, vous acceptez nos",بالانضمام، أنت توافق على
waitlist.disclaimer.privacy,Privacy,Politique de Confidentialité,سياسة الخصوصية
waitlist.disclaimer.terms,Terms,Conditions,الشروط
waitlist.formHeadline,Request an invitation to the atelier.,Demandez une invitation à l'atelier.,اطلب دعوة إلى الأتيليه.
waitlist.formSubline,Only 200 early-access spots available. Takes 30 seconds.,Seulement 200 places d'accès anticipé. Prend 30 secondes.,200 مقعد فقط للوصول المبكر. يستغرق 30 ثانية.
waitlist.headline.gradient,Early?,tôt ?,مبكراً؟
waitlist.headline.pre,Why Join,Pourquoi rejoindre,لماذا تنضم
waitlist.socialProof,Join 200+ Moroccan brands upgrading their visual commerce.,Rejoignez plus de 200 marques marocaines qui développent leur commerce visuel.,انضم إلى أكثر من 200 علامة تجارية مغربية تطوّر تجارتها البصرية.